Index,Parent_File,Ground_Truth,Prediction,Delta1_Met,Raw_Output
0,rgb/corridor_01.png,1.68230716411078,1.42,1,<think> The point is around 1.42 meters away from the camera. </think>  <answer> 1.42 </answer>
1,rgb/corridor_02.png,3.23949034866865,1.7,0,<think> The point is around 1.70 meters away from the camera. </think>  <answer> 1.70 </answer>
2,rgb/corridor_03.png,3.850614175631342,1.7,0,<think> The point is around 1.70 meters away from the camera. </think>  <answer> 1.70 </answer>
3,rgb/corridor_04.png,6.728465705348287,1.54,0,<think> The point is around 1.54 meters away from the camera. </think>  <answer> 1.54 </answer>
4,rgb/corridor_05.png,2.571908140688182,1.7,0,<think> The point is around 1.70 meters away from the camera. </think>  <answer> 1.70 </answer>
5,rgb/corridor_06.png,1.7418173495078961,1.7,1,<think> The point is around 1.70 meters away from the camera. </think>  <answer> 1.70 </answer>
6,rgb/corridor_07.png,6.073090714885176,1.6,0,<think> The point is around 1.60 meters away from the camera. </think>  <answer> 1.60 </answer>
7,rgb/corridor_08.png,7.325856412603952,1.82,0,<think> The point is around 1.82 meters away from the camera. </think>  <answer> 1.82 </answer>
8,rgb/corridor_09.png,1.358815899900816,1.82,0,<think> The point is around 1.82 meters away from the camera. </think>  <answer> 1.82 </answer>
9,rgb/corridor_10.png,2.436102845807583,1.5,0,<think> The point is around 1.50 meters away from the camera. </think>  <answer> 1.50 </answer>
10,rgb/factory_01.png,1.050583657587548,1.45,0,<think> The point is around 1.45 meters away from the camera. </think>  <answer> 1.45 </answer>
11,rgb/factory_02.png,5.3521019302662705,1.8,0,<think> The point is around 1.80 meters away from the camera. </think>  <answer> 1.80 </answer>
12,rgb/factory_03.png,3.628595407034409,1.54,0,<think> The point is around 1.54 meters away from the camera. </think>  <answer> 1.54 </answer>
13,rgb/factory_04.png,8.3588921950103,1.82,0,<think> The point is around 1.82 meters away from the camera. </think>  <answer> 1.82 </answer>
14,rgb/factory_05.png,3.628595407034409,1.7,0,<think> The point is around 1.70 meters away from the camera. </think>  <answer> 1.70 </answer>
15,rgb/factory_06.png,1.478599221789883,2.01,0,<think> The point is around 2.01 meters away from the camera. </think>  <answer> 2.01 </answer>
16,rgb/factory_07.png,2.631418326085298,1.84,0,<think> The point is around 1.84 meters away from the camera. </think>  <answer> 1.84 </answer>
17,rgb/factory_08.png,1.606775005722133,1.45,1,<think> The point is around 1.45 meters away from the camera. </think>  <answer> 1.45 </answer>
18,rgb/kitchen_01.png,2.670328831921873,1.62,0,<think> The point is around 1.62 meters away from the camera. </think>  <answer> 1.62 </answer>
19,rgb/kitchen_02.png,1.89593347066453,1.42,0,<think> The point is around 1.42 meters away from the camera. </think>  <answer> 1.42 </answer>
20,rgb/kitchen_03.png,2.468146791790646,1.42,0,<think> The point is around 1.42 meters away from the camera. </think>  <answer> 1.42 </answer>
21,rgb/kitchen_04.png,2.759594110017548,1.49,0,<think> The point is around 1.49 meters away from the camera. </think>  <answer> 1.49 </answer>
22,rgb/kitchen_05.png,1.667048142214084,1.32,0,<think> The point is around 1.32 meters away from the camera. </think>  <answer> 1.32 </answer>
23,rgb/kitchen_06.png,2.5818265049210343,1.2,0,<think> The point is around 1.20 meters away from the camera. </think>  <answer> 1.20 </answer>
24,rgb/kitchen_07.png,5.516136415655756,1.8,0,<think> The point is around 1.80 meters away from the camera. </think>  <answer> 1.80 </answer>
25,rgb/kitchen_08.png,4.502174410620279,1.8,0,<think> The point is around 1.80 meters away from the camera. </think>  <answer> 1.80 </answer>
26,rgb/lab_01.png,2.4536507209887852,1.52,0,<think> The point is around 1.52 meters away from the camera. </think>  <answer> 1.52 </answer>
27,rgb/lab_02.png,7.434195468070497,1.32,0,<think> The point is around 1.32 meters away from the camera. </think>  <answer> 1.32 </answer>
28,rgb/lab_03.png,2.145418478675517,1.8,1,<think> The point is around 1.80 meters away from the camera. </think>  <answer> 1.80 </answer>
29,rgb/lab_04.png,1.5716792553597312,1.79,1,<think> The point is around 1.79 meters away from the camera. </think>  <answer> 1.79 </answer>
30,rgb/lab_05.png,5.22392614633402,1.84,0,<think> The point is around 1.84 meters away from the camera. </think>  <answer> 1.84 </answer>
